user_id,timestamp,text,emotion,age,gender,region
eebedd06-dcc4-4002-9aa7-f532121a5400,2025-06-09 14:00:54,It seems happy!,feliz,52,masculino,Centro
fae8d31d-08f3-4e15-bef9-384773ad739f,2026-01-15 12:23:43,It went well!,feliz,64,femenino,Centro
3b6aa695-a84a-4e5f-818a-dcee3ca29f80,2024-01-21 00:28:07,It is what it is. Okay.,neutral,33,no binario,Norte
29133a34-6301-4126-b82b-bd1f3165ef4a,2025-08-03 06:57:40,Seems quite hurt. Bad.,triste,25,masculino,Oeste
714af052-4fa8-4eed-b59d-73a6e0f94108,2025-10-10 06:37:02,It looks excited. Nice.,feliz,49,no binario,Norte
b1afcb6f-1140-42fd-8e07-dd8318768f00,2025-12-01 06:50:34,How unexpected!,sorprendido,20,masculino,Oeste
0de604a7-6abe-49fa-bea8-797cd2ffb81e,2024-02-23 15:15:32,I think it is well and bright.,feliz,27,masculino,Este
d95efac6-0af1-41c0-8efe-9a2e31c5b9f6,2025-08-01 06:01:50,Seems quite outraged. Bad.,enojado,54,femenino,Oeste
8e52c859-fba9-41ed-9454-4fedb8433590,2024-06-23 00:16:41,Everything is amazing!,sorprendido,64,femenino,Norte
542758e6-366e-4dcb-b6c5-f2c69d36ec89,2024-05-20 01:01:47,I feel good and fine.,feliz,25,masculino,Oeste
e784508c-b404-4188-8536-70ecb1da9d03,2025-01-16 03:42:15,It seems outraged! Wrong!,enojado,52,femenino,Centro
63317c15-4584-4166-8a1e-fe270206d9b5,2024-06-23 20:05:40,This is fine and different. Fine.,neutral,59,femenino,Centro
0d7565dc-e4f1-47ed-90d9-26dd5dc3f303,2024-07-01 05:38:13,It looks well. Good.,feliz,40,no binario,Centro
82658b37-58d5-45e3-b20d-2ac1d2e4a4c0,2024-05-18 00:01:29,Everything is joy. Good.,feliz,56,no binario,Sur
2b0fe946-7a29-47fc-9bd7-79cd9b0d0707,2024-07-30 04:13:36,I think it is smile. Nice.,feliz,43,no binario,Centro
ccc4d7d8-250a-4271-ada7-ddfc5291a7f6,2024-04-04 10:39:30,This makes me feel disappointing. Bad.,triste,69,femenino,Sur
24f2def8-a1ef-402d-8032-39dabfd2a346,2024-02-21 07:04:10,Everything is interesting. Interesting.,sorprendido,19,femenino,Oeste
88bb7f29-48f8-439e-876a-1d2a1a88f6af,2025-10-08 04:43:56,Seems quite typical. Normal.,neutral,30,masculino,Oeste
86ee382f-3429-4c88-8854-1901ccb712b4,2025-11-06 11:01:56,Seems quite wrong. Bad.,enojado,55,masculino,Norte
3895897b-0423-4f7e-bfd6-a2b4db69a89c,2025-07-30 11:22:44,It looks shocked!,sorprendido,27,femenino,Sur
e52147a2-601a-47f2-8683-ebb2671c49a1,2025-08-20 14:59:55,This is unexpected! Wow!,sorprendido,25,femenino,Este
3e494227-7393-482b-be09-1682c04eb829,2025-06-25 23:05:40,This makes me feel furious! Wrong!,enojado,63,femenino,Oeste
4e70b809-8ef8-4540-9a87-f9f89c7a05cd,2024-10-24 05:19:57,This is different and wow!,sorprendido,47,no binario,Norte
8c2fa7ea-1338-4d03-86c2-da854bd51d90,2025-11-16 13:16:05,This is typical.,neutral,37,femenino,Centro
d53be943-62a4-4a98-8ce6-a0dc2f45c042,2024-11-17 12:23:05,I do not like this!,enojado,50,no binario,Centro
b92682b1-1be2-467d-9fba-b6eaa5de6426,2024-06-25 19:24:59,Seems quite disappointing.,triste,28,no binario,Oeste
64973cce-21be-49fe-84bc-62988887c1a2,2025-10-23 16:13:23,It looks nice. Nice.,feliz,51,masculino,Sur
1c6576c4-ff95-4612-95ac-710f53d9903b,2025-05-26 01:51:21,Seems quite incredible!,sorprendido,41,masculino,Norte
98064688-ac02-4411-ba70-6a1b16ed979c,2024-10-23 20:32:00,This makes me feel annoying and terrible! Wrong!,enojado,45,femenino,Centro
ca0ad43f-0ca1-4db8-8cef-12bfd9bcee60,2025-07-07 04:08:58,This is terrible! Wrong!,enojado,30,no binario,Sur
434f3115-86ab-43f7-a7b5-d895955b9362,2024-04-07 00:16:37,I feel smile and joy!,feliz,58,no binario,Oeste
e33cacea-1dbd-4a70-acd0-1b8d21be5367,2025-10-29 05:14:33,How unexpected.,sorprendido,27,no binario,Este
cfa183fe-ee1d-4587-82fb-9587684017ee,2024-01-30 16:40:59,I think it is amazing and wow! Wow!,sorprendido,44,femenino,Este
88a6c4d2-3c82-46e9-ab1a-1a9ffec8e2ee,2024-11-29 00:44:53,This is wrong! Wrong!,enojado,38,femenino,Este
f0efd9a6-07c3-4d43-bddb-10fffacf7b32,2025-01-17 16:43:48,I feel typical. Okay.,neutral,52,masculino,Norte
c4aae1e5-c1cb-4255-828e-659c2ee2ac81,2024-10-29 14:21:42,It is difficult...,triste,31,no binario,Oeste
5894d7f7-21f5-469b-bb5f-af2b753824e0,2024-09-28 15:50:50,This is positive. Nice.,feliz,26,no binario,Centro
9425fc9f-f81a-4180-b071-eeee8107be28,2025-07-13 12:12:32,Pretty standard and okay. Fine.,neutral,32,femenino,Norte
b0e4ed42-8fd5-4010-bd04-2f2c06bde1b7,2025-02-17 17:21:59,Everything is normal.,neutral,54,femenino,Oeste
85b5c515-6cb9-429e-babb-a399b4e92d69,2025-01-05 18:01:26,It looks furious.,enojado,58,masculino,Este
e8bebbb7-56a2-4c67-891c-5c8ccc5812fb,2024-07-18 14:58:10,Pretty good. Good.,feliz,37,femenino,Oeste
3a4c28f4-860d-43fd-9a32-57e0a983688f,2025-01-01 14:38:10,This makes me feel furious. Bad.,enojado,26,no binario,Sur
32a3539c-0db2-40c9-86e6-54deae44b4b5,2025-07-10 12:08:39,It looks unusual!,sorprendido,18,no binario,Oeste
2ca9ab42-3431-4721-a84d-e31688955003,2024-01-31 08:49:17,Seems quite outraged! Wrong!,enojado,54,masculino,Centro
ad2f3694-676c-4ef3-a288-dc1126bfba21,2024-08-07 10:35:13,Everything is terrible.,enojado,50,femenino,Norte
98288ade-919f-456c-8330-358ee46e317a,2026-01-11 15:08:18,It looks fine and okay!,feliz,41,femenino,Oeste
6dc47dac-997f-4bd6-bed4-458359b8e461,2026-01-18 02:38:45,I feel bad.,triste,18,masculino,Este
fb6f15ef-fda8-4d23-9195-8048b4d29ec5,2024-08-10 11:02:03,This is bad!,enojado,47,no binario,Centro
a5e3bb7f-0026-48f0-867d-f1ce9367ff0e,2025-06-24 01:17:53,Not good and mad. Bad.,enojado,23,masculino,Este
15b95c3f-0889-4b74-90a7-11a4340ab986,2025-06-09 05:35:05,I feel angry and ridiculous. Bad.,enojado,41,no binario,Este
66f6ee71-48df-4879-9512-8647f3315cb4,2025-07-16 19:46:20,This is joy and joy!,feliz,52,no binario,Este
fb7494f5-4390-423c-917c-4dee554aa65e,2024-12-10 23:38:34,This makes me feel positive!,feliz,48,masculino,Este
afc1c481-9ab0-44bb-a6bf-cf90a9eda60b,2025-11-27 12:32:46,This is not good and awful. Bad.,triste,65,femenino,Oeste
a46746bd-2106-4c30-a0cd-bbb2d65b9a8c,2024-10-19 11:59:13,I think it is bright. Nice.,feliz,69,no binario,Norte
93caee73-7921-42c1-897b-1c2e10a27a61,2025-07-15 17:15:21,Everything is nice and bright.,feliz,46,masculino,Sur
600f3584-57fb-4a5f-b25a-6f90984539ef,2024-09-18 13:56:32,I think it is annoying! Wrong!,enojado,27,no binario,Este
7d541164-f0df-4f22-ba07-794856e8a366,2025-02-05 00:48:01,I feel wonderful!,feliz,43,no binario,Sur
051444fc-967d-40fe-8ea1-615d17d9e8dc,2025-08-11 23:38:29,Seems quite mad! Wrong!,enojado,26,no binario,Este
c47ffb56-9f82-4bdf-87ec-f852dd135222,2024-07-30 17:23:29,I think it is hate! Wrong!,enojado,56,masculino,Centro
db7ebc1a-ef74-438e-9a12-dee9e648a436,2024-04-25 22:42:30,Not good. Bad.,enojado,22,no binario,Centro
5d2f6276-6f31-48b7-a05d-d4d0fcabfd47,2024-06-06 05:30:06,Seems normal.,neutral,61,no binario,Centro
577ce70b-95d0-4329-92ae-13792b5ff4e9,2025-03-15 22:21:01,Everything is furious.,neutral,30,no binario,Sur
731b9c53-b094-41f1-8cf9-75e6837c5087,2024-02-20 07:44:05,Not good and ridiculous! Wrong!,enojado,54,masculino,Sur
59d032c6-6ce8-4d48-bfe8-ad6789f34ce4,2025-01-07 09:51:41,This makes me feel sad.,triste,32,no binario,Este
05e411d9-ce36-4955-9d3e-e560c4107941,2025-06-28 16:04:23,It looks hurt and awful...,triste,31,no binario,Este
af0d0156-d91d-43ab-902d-299ecafcdc41,2025-12-24 13:39:40,It seems typical. Normal.,neutral,52,masculino,Este
34bbbb2c-cdcb-48d4-b69d-c33162ad4e49,2024-04-14 08:10:52,Everything is crying. Not good.,triste,43,femenino,Norte
131bb6d7-6e42-4dff-8624-3f15f604da13,2024-12-05 16:52:29,It looks okay.,neutral,51,femenino,Centro
a28c3356-a05f-4087-bff2-9906455a364f,2026-01-15 11:06:41,I think it is bright.,feliz,42,masculino,Centro
4901caea-32fc-4d11-b82a-9e70139f3370,2025-02-21 08:26:28,It is difficult and disappointing.,triste,65,masculino,Norte
f4302531-da65-4765-914a-d05a130a6e7b,2025-08-08 19:04:00,I think it is hate.,enojado,42,femenino,Oeste
d44b0f95-0f3e-44ba-acf9-1d8cc2eddea9,2024-12-16 01:59:23,It looks typical. Normal.,neutral,38,masculino,Centro
724c4d05-8152-4c92-a60e-8c76e59c36cd,2025-02-13 13:39:05,Everything is surprised! Wow!,sorprendido,22,femenino,Centro
c28091f1-25a4-44a2-b4c1-a471798a3cd6,2025-08-20 10:14:11,Quite strange! Wow!,sorprendido,50,no binario,Sur
25922aba-6ea1-4ca5-aed2-01927d26497a,2025-10-06 11:55:58,It looks wow and shocked! Wow!,sorprendido,36,femenino,Sur
